,cate_id
639,6416
640,23216
641,23202
642,2514
643,23204
644,23214
645,23208
646,27154
647,23200
648,11806
649,23228
650,11814
651,23224
652,27160
653,27156
654,27158
655,23196
656,23192
657,23190
658,23194
659,23198
660,27150
661,23022
662,2238
663,2237
664,2235
665,23024
666,23030
667,23026
668,23020
669,18862
670,18888
671,22462
672,18890
673,18886
674,18860
675,18854
676,19126
677,18864
678,18858
679,18856
680,18894
681,18868
682,18892
683,18904
684,18906
685,18902
686,18870
687,18884
688,23418
689,23434
690,27176
691,23414
692,3879
693,23446
694,5450
695,23440
696,23444
697,23442
698,11858
699,12988
700,8316
701,23422
702,8317
703,23416
704,23420
705,3878
706,5995
707,8318
708,23436
709,23438
710,27164
711,27166
712,27168
713,27170
714,27172
715,23428
716,23430
717,23426
718,23432
719,23424
720,27182
721,27180
722,23410
723,23408
724,23412
725,23404
726,23406
727,23462
728,23508
729,23510
730,23518
731,23506
732,23520
733,10076
734,23516
735,23552
736,23498
737,23468
738,23514
739,23512
740,10074
741,23504
742,18408
743,23458
744,23456
745,23460
746,23464
747,23454
748,23448
749,23466
750,23470
751,23484
752,23474
753,23480
754,23476
755,23478
756,23492
757,23530
758,23564
759,23554
760,23548
761,23558
762,23528
763,23678
764,23654
765,23570
766,23598
767,23636
768,23662
769,4380
770,4381
771,23656
772,12592
773,23660
774,23658
775,23576
776,23572
777,12594
778,23578
779,23574
780,12590
781,23588
782,23582
783,23584
784,23580
785,23596
786,23592
787,23590
788,23586
789,23594
790,23600
791,23882
792,23626
793,23632
794,23540
795,23602
796,2951
797,23630
798,23628
799,23634
800,23604
801,23622
802,23624
803,23616
804,23620
805,23614
806,23612
807,23618
808,23640
809,23642
810,23638
811,23644
812,12598
813,23652
814,23648
815,23646
816,23650
817,23664
818,23668
819,23666
820,23672
821,23670
822,23676
823,23674
824,23034
825,23036
826,23040
827,23042
828,23032
829,23038
830,23016
831,23014
832,2153
833,2948
834,4452
835,2759
836,4451
837,23714
838,3176
839,23542
840,2264
841,3175
842,2760
843,2764
844,2392
845,23708
846,11856
847,1978
848,1979
849,2265
850,23710
851,12982
852,2266
853,23544
854,23716
855,23718
856,23712
857,12986
858,2327
859,2806
860,2805
861,12984
862,12980
863,23680
864,23682
865,23686
866,23684
867,23694
868,23696
869,23546
870,23524
871,23704
872,23706
873,23702
874,23698
875,23700
876,23692
877,23690
878,23688
879,6511
880,23728
881,23778
882,3710
883,7713
884,2363
885,23800
886,23804
887,23726
888,23806
889,11222
890,1980
891,11562
892,23802
893,2784
894,2140
895,23742
896,23736
897,23756
898,27204
899,23730
900,23740
901,23746
902,27198
903,27200
904,23734
905,23754
906,23750
907,23752
908,23738
909,23744
910,23732
911,23792
912,23780
913,23790
914,23794
